Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S318700238,Ross's Goose,Anser rossii,272,1,US-IL,Vermilion,L62152829,"317–381 W South Sherman St, Fithian US-IL (40.1123,-87.8960)",40.112259,-87.895954,2026-04-07,01:45 PM,eBird - Stationary Count,6,1,,,1,,,FluddlesIL
S319619143,Canada Goose,Branta canadensis,342,2,US-IL,Champaign,L62231705,Prairie Oasis Fluddle (Private Property),40.158394,-88.205337,2026-04-10,09:31 AM,eBird - Stationary Count,10,1,,,2,,,"FluddlesIL    Water is dried up, just a wet patch. Probably missed a few birds cuz I was showing Leslie how to use eBird but there definitely weren’t any shorebirds    Cloudy  64 degrees  14 mph winds"
S322723310,Canada Goose,Branta canadensis,342,16,US-IL,Cook,L343390,Caldwell Preserves (Bunker Hill/Yates Flatwoods/Caldwell Woods),42.00125,-87.7851391,2026-04-16,04:57 PM,eBird - Stationary Count,24,1,,,1,,,FluddlesIL
S323402270,Canada Goose,Branta canadensis,342,2,US-IL,Cook,L140218,Miller Meadows Forest Preserve,41.855648,-87.8284149,2026-04-17,07:09 AM,eBird - Traveling Count,16,1,.113,,1,,,FluddlesIL
S322390002,Canada Goose,Branta canadensis,342,4,US-IL,Cook,L11356834,Ridgeland Ave. Fields and Fluddle (roadside viewing only),41.4770963,-87.7708508,2026-01-10,01:56 PM,eBird - Traveling Count,7,1,.077,,1,,,FluddlesIL    36F  Mostly sunny  WNW 14mph
S322390003,Canada Goose,Branta canadensis,342,150,US-IL,Cook,L11356834,Ridgeland Ave. Fields and Fluddle (roadside viewing only),41.4770963,-87.7708508,2026-01-18,01:18 PM,eBird - Traveling Count,34,1,.494,,1,,Most flying. There was a hunter shooting geese on the west side.,FluddlesIL    18F  Cloudy  SW14mph
S322500450,Canada Goose,Branta canadensis,342,6,US-IL,Cook,L11356834,Ridgeland Ave. Fields and Fluddle (roadside viewing only),41.4770963,-87.7708508,2026-03-14,03:21 PM,eBird - Stationary Count,17,1,,,1,,,34 degrees  ESE 9 mph    FluddlesIL
S322390023,Canada Goose,Branta canadensis,342,2,US-IL,Cook,L11356834,Ridgeland Ave. Fields and Fluddle (roadside viewing only),41.4770963,-87.7708508,2026-04-14,01:12 PM,eBird - Traveling Count,21,1,.1,,1,,,FluddlesIL    75F  Sunny after overnight and early morning rain.  SW17mph
S322828811,Canada Goose,Branta canadensis,342,7,US-IL,Cook,L11356834,Ridgeland Ave. Fields and Fluddle (roadside viewing only),41.4770963,-87.7708508,2026-04-16,01:19 PM,eBird - Stationary Count,22,1,,,1,,,69 F  W 17 mph    FluddlesIL
S322390014,Canada Goose,Branta canadensis,342,2,US-IL,Cook,L26559400,"Volbrecht Rd. Fluddle, Ford Heights",41.5089938,-87.5748227,2026-03-29,02:40 PM,eBird - Traveling Count,118,1,1.291,,1,,,FluddlesIL    62F  Cloudy  SSW13mph    Nice group of shorebirds found earlier today by Alex H. Thanks Alex!
S322017730,Canada Goose,Branta canadensis,342,2,US-IL,Cook,L26559400,"Volbrecht Rd. Fluddle, Ford Heights",41.5089938,-87.5748227,2026-04-13,01:15 PM,eBird - Stationary Count,13,1,,,1,,,FluddleIL
S322390018,Canada Goose,Branta canadensis,342,2,US-IL,Cook,L39372695,"West 167th Street, Orland Park, Illinois, US (41.586, -87.896)",41.5857573,-87.8964449,2026-04-06,05:32 PM,eBird - Stationary Count,8,1,,,1,,,FluddlesIL    52F  Partly sunny  NW15mph
S322389998,Canada Goose,Branta canadensis,342,30,US-IL,DuPage,L62920387,Smith Rd. Fluddle,41.928111,-88.246081,2026-04-15,06:11 PM,eBird - Traveling Count,53,1,.161,,2,,,"FluddlesIL    Joined Jayne Leone here when I arrived, and she provided some context for where her white-headed shorebird had disappeared to. She left and Ryan Jones arrived and looked with me for a while. We eventually found the bird, and concluded it was an aberrant likely leucistic Lesser Yellowlegs."
S323090319,Canada Goose,Branta canadensis,342,6,US-IL,DuPage,L62920387,Smith Rd. Fluddle,41.928111,-88.246081,2026-04-17,12:03 PM,eBird - Stationary Count,25,1,,,1,,,FluddlesIL
S324786793,Canada Goose,Branta canadensis,342,6,US-IL,DuPage,L62920387,Smith Rd. Fluddle,41.928111,-88.246081,2026-04-20,01:40 PM,eBird - Stationary Count,15,1,,,1,,,FluddlesIL
S319761626,Canada Goose,Branta canadensis,342,8,US-IL,DuPage,L1106351,Smith Road Fluddle,41.9284635,-88.2470798,2026-04-10,12:05 PM,eBird - Stationary Count,35,1,,,1,,,FluddlesIL
S321292231,Canada Goose,Branta canadensis,342,6,US-IL,DuPage,L1106351,Smith Road Fluddle,41.9284635,-88.2470798,2026-04-13,01:30 PM,eBird - Stationary Count,10,1,,,1,,,FluddlesIL
S322627462,Canada Goose,Branta canadensis,342,25,US-IL,DuPage,L1106351,Smith Road Fluddle,41.9284635,-88.2470798,2026-04-15,04:45 PM,eBird - Stationary Count,25,1,,,1,,,FluddlesIL
S319344550,Canada Goose,Branta canadensis,342,3,US-IL,Kane,L21840065,BRFP,41.7533037,-88.5306626,2026-04-09,03:45 PM,eBird - Stationary Count,50,1,,,1,,,fluddlesil
S324257562,Canada Goose,Branta canadensis,342,2,US-IL,Kane,L63314361,Big Rock fluddle,41.765256,-88.5383607,2026-04-19,11:45 AM,eBird - Stationary Count,20,1,,,1,,,fluddlesil
S316750269,Canada Goose,Branta canadensis,342,4,US-IL,Kane,L61395562,Burlington Prairie FP--Engel Rd. Fluddle,42.0630499,-88.5791562,2026-04-03,02:05 PM,eBird - Stationary Count,10,1,,,1,,,"FluddlesIL    This area is spectacular and I’m super excited to have it as one of my sites. While I didn’t see any shorebirds or waterfowl during my visit today, the fields here are completely flooded. There’s the Engel road Fluddle of course but there are also plenty of other little fluddles in the surrounding fields. Once we get closer to peak shorebird migration, I think we’ll see a lot of amazing birds here. Highly recommend a scope to view the far side of the fluddle, although binoculars were alright.    Habitat description: Large fluddle surrounded by significant flooding in nearby fields that has created other fluddles. There aren’t currently extensive mudflats at the site and the water seems relatively high.     Partly cloudy  52 degrees  6 mph winds"
S323436676,Canada Goose,Branta canadensis,342,2,US-IL,Kane,L61395562,Burlington Prairie FP--Engel Rd. Fluddle,42.0630499,-88.5791562,2026-04-17,03:44 PM,eBird - Stationary Count,6,1,,,1,,,FluddlesIL    No shorebirds other than Killdeer
S322500451,Canada Goose,Branta canadensis,342,2,US-IL,Kane,L62949427,"Crane Rd south of Otter Creek Bend Wetlands Park Fluddles 41.96341, -88.34987",41.963406,-88.34987,2026-04-16,08:58 AM,eBird - Stationary Count,19,1,,,2,,,FluddlesIL Multiple fluddles in area some with obstructive views due to tree line.
S316757181,Canada Goose,Branta canadensis,342,1,US-IL,Kane,L7929112,Dick Young FP--Seavey Rd. Fluddle,41.8236,-88.3821836,2026-04-03,03:35 PM,eBird - Stationary Count,11,1,,,1,,,FluddlesIL    Probably the best fluddle I visited today in terms of birds that were actually utilizing the fluddle. There were a bunch of good dabbling ducks around and loads of passerines were hanging around the mudflats near the fluddle. Excited to see what shorebirds show up here later on this spring. Scope highly encouraged. There is also a feeder near the survey point at Kurns road that was attracting birds    Habitat description: Large fluddle in a field of corn stubble. Some large areas of deeper water surrounded by mudflats. Field is adjacent to a subdivision.    Cloudy  55 degrees  9 mph winds
S320826748,Canada Goose,Branta canadensis,342,5,US-IL,Kane,L7929112,Dick Young FP--Seavey Rd. Fluddle,41.8236,-88.3821836,2026-04-10,03:41 PM,eBird - Stationary Count,41,1,,,2,,,FluddlesIL
S322017729,Canada Goose,Branta canadensis,342,3,US-IL,Kane,L7929112,Dick Young FP--Seavey Rd. Fluddle,41.8236,-88.3821836,2026-04-14,02:57 PM,eBird - Stationary Count,18,1,,,2,,,FluddlesIL
S322193978,Canada Goose,Branta canadensis,342,5,US-IL,Kane,L7929112,Dick Young FP--Seavey Rd. Fluddle,41.8236,-88.3821836,2026-04-15,11:36 AM,eBird - Stationary Count,30,1,,,1,,,FluddlesIL
